
Epoch [69/100] Loss_D: 0.0066, Loss_G: 6.0724

Epoch [69/100] Loss_D: 0.0068, Loss_G: 6.0470

Epoch [69/100] Loss_D: 0.0103, Loss_G: 6.2700

Epoch [70/100] Loss_D: 0.0064, Loss_G: 5.0606

Epoch [70/100] Loss_D: 0.0101, Loss_G: 5.0986

Epoch [70/100] Loss_D: 0.0078, Loss_G: 7.7249

Epoch [70/100] Loss_D: 0.0029, Loss_G: 6.6726

Epoch [70/100] Loss_D: 0.0071, Loss_G: 6.9432

Epoch [71/100] Loss_D: 0.0072, Loss_G: 6.6614

Epoch [71/100] Loss_D: 0.0087, Loss_G: 5.4443

Epoch [71/100] Loss_D: 0.0173, Loss_G: 5.9237

Epoch [71/100] Loss_D: 0.0297, Loss_G: 7.5013

Epoch [71/100] Loss_D: 0.0222, Loss_G: 4.9426

Epoch [72/100] Loss_D: 0.0109, Loss_G: 5.4739

Epoch [72/100] Loss_D: 0.0057, Loss_G: 5.8320

Epoch [72/100] Loss_D: 0.0091, Loss_G: 5.1360

Epoch [72/100] Loss_D: 0.0038, Loss_G: 6.1756

Epoch [72/100] Loss_D: 0.0134, Loss_G: 4.6403

Epoch [73/100] Loss_D: 0.0056, Loss_G: 5.5485

Epoch [73/100] Loss_D: 0.0038, Loss_G: 6.0526

Epoch [73/100] Loss_D: 0.0062, Loss_G: 6.0819

Epoch [73/100] Loss_D: 0.0023, Loss_G: 7.2475

Epoch [73/100] Loss_D: 0.0057, Loss_G: 7.2142

Epoch [74/100] Loss_D: 0.0027, Loss_G: 7.2883

Epoch [74/100] Loss_D: 0.0015, Loss_G: 7.7627

Epoch [74/100] Loss_D: 0.0024, Loss_G: 7.0744

Epoch [74/100] Loss_D: 0.0117, Loss_G: 5.9507

Epoch [74/100] Loss_D: 0.0366, Loss_G: 9.9223

Epoch [75/100] Loss_D: 0.0030, Loss_G: 6.7917

Epoch [75/100] Loss_D: 0.0026, Loss_G: 6.2344

Epoch [75/100] Loss_D: 0.0045, Loss_G: 6.8048

Epoch [75/100] Loss_D: 0.0020, Loss_G: 6.6010

Epoch [75/100] Loss_D: 0.0125, Loss_G: 5.1971

Epoch [76/100] Loss_D: 0.0067, Loss_G: 5.0229

Epoch [76/100] Loss_D: 0.0057, Loss_G: 5.8739

Epoch [76/100] Loss_D: 0.0043, Loss_G: 5.9870

Epoch [76/100] Loss_D: 0.0049, Loss_G: 5.6809

Epoch [76/100] Loss_D: 0.0034, Loss_G: 5.6535

Epoch [77/100] Loss_D: 0.0057, Loss_G: 5.6018

Epoch [77/100] Loss_D: 0.0710, Loss_G: 5.6048

Epoch [77/100] Loss_D: 0.0091, Loss_G: 4.9370

Epoch [77/100] Loss_D: 0.0081, Loss_G: 5.2466

Epoch [77/100] Loss_D: 0.0065, Loss_G: 5.3040

Epoch [78/100] Loss_D: 0.0017, Loss_G: 7.5086

Epoch [78/100] Loss_D: 0.0044, Loss_G: 7.1109

Epoch [78/100] Loss_D: 1.3889, Loss_G: 7.1379

Epoch [78/100] Loss_D: 0.0169, Loss_G: 5.4482

Epoch [78/100] Loss_D: 0.0067, Loss_G: 5.4350

Epoch [79/100] Loss_D: 0.0066, Loss_G: 5.7415

Epoch [79/100] Loss_D: 0.0077, Loss_G: 5.7430

Epoch [79/100] Loss_D: 0.0026, Loss_G: 6.7442

Epoch [79/100] Loss_D: 0.0119, Loss_G: 5.2403

Epoch [79/100] Loss_D: 0.0012, Loss_G: 7.1471

Epoch [80/100] Loss_D: 0.0049, Loss_G: 6.7202

Epoch [80/100] Loss_D: 0.0013, Loss_G: 7.3812

Epoch [80/100] Loss_D: 0.0284, Loss_G: 5.9274

Epoch [80/100] Loss_D: 0.0035, Loss_G: 6.3329

Epoch [80/100] Loss_D: 0.0037, Loss_G: 5.7732

Epoch [81/100] Loss_D: 0.0832, Loss_G: 5.9310

Epoch [81/100] Loss_D: 0.0153, Loss_G: 5.1318

